Document,Transcription,Consignment,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Owner Name 1,Owner Name 2,Owner Name 3,Owner Name 4,Owner Name 5,Beneficiaries,Title,Subject/Genre,Subject/ICON,Object Type,Document Type,Object Notes,Inscription,Transaction,Date or Range,Document Origin,Residence,Room,Entry Date,Purchase Loc,Sale Date,Auction House,Sale Location,Purchase Price,KnoedShare Price,Dealer Cost,Sale Price,KnoedSale Price,Seller(s),Buyer(s),Joint Owner(s),Prev Owner(s),Prev Sales,Post Owner(s),Post Sales,Present Loc,Expert,Comm-Priseur,Lugt Number,Number of Lots,Notes,Catalog Loc(s),Photocopies,Editor Notes,Introduction,Archive Record,Related Doc(s),Further Notes,Bibliography,Appraiser,Notary,Pubication,Contributor,Other Invent(s),Annotations,Column 64,Column 65
"Sales Catalog Br-3075, Lot 0187",,,"SIMONS, MICHIEL (Dutch) -- from catalog: Simons",,,,,,,,,,,"The Sportsman, with Dogs and Game, fine",,,Painting,,,,Bought In,,,,,,,1828 Mar 12 - 1828 Mar 13 (This Lot: Mar 13),Foster (Edward),"London, England, UK",,,,16-16 pounds,,Gatton;  -- from catalog: Gatton,,,,,,,,,,11666,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3073, Lot 0107",,,TIZIANO VECELLIO (Italian) -- from catalog: Titian,,,,,,,,,,,Boys playing with Dogs,,,Painting,,,,Sold,,,,,,,1828 Mar 6,Foster (Edward),"London, England, UK",,,,3-0 pounds,,,Wass;  -- from catalog: Wass,,,,,,,,,11659,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3070, Lot 0209",,,"FYT, JAN (Flemish) -- from catalog: Styt",,,,,,,,,,,"Dead Game, with Dogs, &c. unframed (companion to lot 210)",,,Painting,,,,Sold,,,,,,,1828 Mar 3 - 1828 Mar  7 (This Lot: Mar  4),Southgate (James Webber),"London, England, UK",,,,1-13 pounds,,Benger;  -- from catalog: Benger,Groom;  -- from catalog: Groom,,,,,,,,,11650 and 11654,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3066, Lot 0033",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"Fox and Dogs Snarling over a Partridge, A fine production of this esteemed Animal Painter",,,Painting,,,,Unknown,,,,,,,1828 Feb 21,Barclay & Skirving,"Glasgow, Scotland, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3061, Lot 0481",,,"WILKIE, DAVID (British) -- from catalog: D. Wilkie",,,,,,,,,,,"The Interior of a Cottage, with Sportsman and Dogs, an early picture by this eminent Master",,,Painting,,,,Sold,,,,,,,1828 Feb 1 - 1828 Feb  6 (This Lot: Feb  5),Stewart (William),"London, England, UK",,,,1-7 pounds,,Forster;  -- from catalog: Forster,Green;  -- from catalog: Green,,,,,,,,,11630,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3059, Lot 0126",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs and Dead Game,,,Painting,,,,Sold,,,,,,,1828 Jan 30,Foster (Edward),"London, England, UK",,,,5-0 pounds,,Walton;  -- from catalog: Walton,Bannister;  -- from catalog: Bannister,,,,,,,,,11626,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2851, Lot 0035",,,"BEELDEMAKER, ADRIAEN CORNELISZ. (Dutch) -- from catalog: Beeldemaker",,,,,,,,,,,Dogs,,,Painting,,,,Bought In,,,,,,,1826 Jul 12,Foster (Edward),"London, England, UK",,,,1-0 pounds,,Levy;  -- from catalog: Levy,,,,,,,,,,11229,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2833, Lot 0025",,,"BEELDEMAKER, ADRIAEN CORNELISZ. (Dutch) -- from catalog: Beeldemaker",,,,,,,,,,,"Dogs, &c.",,,Painting,,,,Bought In,,,,,,,1826 Jun 14,Foster (Edward),"London, England, UK",,,,0-45 pounds,,Jameson;  -- from catalog: Jameson,,,,,,,,,,11211,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2828, Lot 0119",,,"CARRACCI, LUDOVICO (Italian) -- from catalog: Lod. Carracci",,,,,,,,,,,"Venus applying a handkerchief to the head of Adonis, who is asleep, overpowered by the fatigues of the chase; attendant Cupids are supporting drapery above them, or playing with the dogs and Venus's doves",,,Painting,,,,Bought In,,,,,,,1826 Jun 3,Christie's,"London, England, UK",,,,36 1/2 guineas,,"Lafontaine, Pierre-Joseph;  -- from catalog: L[a] F[ontaine]",,,,,,,,,,11204,,,"Although this lot was originally marked as bought in at 16 1/2, the CL copy of the catalogue indicates it was sold by private contract for £20.0.",,,,,,,,,,,,,,,
"Sales Catalog Br-2828, Lot 0103",,,"DUJARDIN, KAREL (Dutch) -- from catalog: Du Jardin",,,,,,,,,,,"A halt of a Horseman sitting on the ground in the shade, his Horse standing near him, while his attendant is lashing the dogs together",,,Painting,,,,Bought In,,,,,,,1826 Jun 3,Christie's,"London, England, UK",,,,12 1/2 guineas,,"Lafontaine, Pierre-Joseph;  -- from catalog: L[a] F[ontaine]",,,,,,,,,,11204,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2828, Lot 0059",,,"Lobell (German), or Schweickardt, H. -- from catalog: Nobell","SCHWEICKARDT, HEINRICH WILHELM, or Nobell -- from catalog: Schweickhardt",,,,,,,,,,"A Sportsman and Dogs, in a Landscape, in the manner of Wynants",,,Painting,,,,Bought In,,,,,,,1826 Jun 3,Christie's,"London, England, UK",,,,12 1/2 guineas,,Milner;  -- from catalog: Milner,,,,,,,,,,11204,,,The artist's name was changed by hand from Nobell to Schweickhardt in the CL copy of the catalogue.,,,,,,,,,,,,,,,
"Sales Catalog Br-2822, Lot 0047",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"A high finished Landscape, with Sportsman, Horses and Dogs",,,Painting,,,,Unknown,,,,,,,1826 May 27,Phillips (Harry),"London, England, UK",,,,25-0 pounds,,,,,,,,,,,,11191,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3045, Lot 0007",,,"WEBBER, JOHN (British) -- from catalog: Webber",,,,,,,,,,,Two Portraits of Chinese and Lap-Dogs on a Cushion,,,Painting,,,,Sold,,,,,,,1827 Dec 19,Christie's,"London, England, UK",,,,0-12 pounds,,Ward;  -- from catalog: Ward,Lewis;  -- from catalog: Lewis,,,,,,,,,11594,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3042, Lot 0027",,,"HUCHTENBURGH, JAN VAN (Dutch) -- from catalog: Hughtenburgh",,,,,,,,,,,"Dogs attacking a Bull, the companion picture (companion to lot 26)",,,Painting,,,,Bought In,,,,,,,1827 Nov 28,Foster (Edward),"London, England, UK",,,,6 1/2 guineas,,"Barham, Joseph Foster;  -- from catalog: Barham",,,,,,,,,,11575,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3039, Lot 0088[c]",,,"STORCK, ABRAHAM (Dutch), manner -- from catalog: Storck",,,,,,,,,,,"The dogs devouring Jezebel; V. Diest, a Sea-port in the Mediterranean; a View upon a Canal with Boats and Figures, in the manner of Storck (THIS LOT: A View upon a Canal with Boats and Figures; lots 88[a] by A.C. Beeldemaker & 88[b] by A. Diest)",,,Painting,,,,Sold,,,,,,,1827 Nov 23 - 1827 Nov 24 (This Lot: Nov 23),Christie's,"London, England, UK",,,,3-3 pounds (for lots 88[a-c]),,Turner;  -- from catalog: [Turn]er,Adams;  -- from catalog: Adams,,,,,,,,,11570,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3039, Lot 0088[b]",,,"DIEST, ADRIAEN VAN (Dutch) -- from catalog: V. Diest",,,,,,,,,,,"The dogs devouring Jezebel; V. Diest, a Sea-port in the Mediterranean; a View upon a Canal with Boats and Figures, in the manner of Storck (THIS LOT: A Sea-port in the Mediterranean; lot 88[a] by A.C. Beeldemaker & 88[c] is manner of Abr. Storck)",,,Painting,,,,Sold,,,,,,,1827 Nov 23 - 1827 Nov 24 (This Lot: Nov 23),Christie's,"London, England, UK",,,,3-3 pounds (for lots 88[a-c]),,Turner;  -- from catalog: [Turn]er,Adams;  -- from catalog: Adams,,,,,,,,,11570,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3039, Lot 0088[a]",,,"BEELDEMAKER, ADRIAEN CORNELISZ. (Dutch) -- from catalog: Beeldemaker, 1693",,,,,,,,,,,"The dogs devouring Jezebel; V. Diest, a Sea-port in the Mediterranean; a View upon a Canal with Boats and Figures, in the manner of Storck (THIS LOT: The dogs devouring Jezebel; lot 88[b] by A. Diest & 88[c] is manner of Abr. Storck)",,,Painting,,,1693 (dated?),Sold,,,,,,,1827 Nov 23 - 1827 Nov 24 (This Lot: Nov 23),Christie's,"London, England, UK",,,,3-3 pounds (for lots 88[a-c]),,Turner;  -- from catalog: [Turn]er,Adams;  -- from catalog: Adams,,,,,,,,,11570,,,It is unclear whether the date is inscribed on the painting.,,,,,,,,,,,,,,,
"Sales Catalog Br-3039, Lot 0077[b]",,,"BRIL, PAUL (Flemish), and Brueghel, J. (I) -- from catalog: Brill","BRUEGHEL, JAN (THE ELDER) (Flemish), and Bril, P. -- from catalog: Breughel",,,,,,,,,,"St. Francis and the Infant Christ, small.  Brill and Breughel, -- a small Wood Scene, and a Huntsman with dogs, and portraits of Henry VIII.; and companion, small, on copper (THIS LOT: A small Wood Scene, and a Huntsman with dogs; lots 77[a] & 77[c] by Anonymous)",,,Painting,,,,Sold,,,,,,,1827 Nov 23 - 1827 Nov 24 (This Lot: Nov 23),Christie's,"London, England, UK",,,,2-4 pounds (for lots 77[a-c]),,Turner;  -- from catalog: Turner,,,,,,,,,,11570,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3039, Lot 0077[a]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"St. Francis and the Infant Christ, small.  Brill and Breughel, -- a small Wood Scene, and a Huntsman with dogs, and portraits of Henry VIII.; and companion, small, on copper (THIS LOT: St. Francis and the Infant Christ; lot 77[b] by P. Bril and J. Brueghel (I))",,,Painting,,,,Sold,,,,,,,1827 Nov 23 - 1827 Nov 24 (This Lot: Nov 23),Christie's,"London, England, UK",,,,2-4 pounds (for lots 77[a-c]),,Turner;  -- from catalog: Turner,,,,,,,,,,11570,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3034, Lot 0030",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"A pair, Still LIfe, and Dogs in a Landscape",,,Painting,,,,Unknown,,,,,,,1827 Nov 19 - 1827 Nov 23 (This Lot: Nov 20),Abbott (John),"London, England, UK",,,,3-3 pounds,,"Manners, Edward;  -- from catalog: Edward Manners",,,,,,,,,,11565,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3034, Lot 0013",,,"WOOTTON, JOHN (British) -- from catalog: Wooton",,,,,,,,,,,Three Landscapes with favourite Dogs,,,Painting,,,,Unknown,,,,,,,1827 Nov 19 - 1827 Nov 23 (This Lot: Nov 20),Abbott (John),"London, England, UK",,,,8-8 pounds,,"Manners, Edward;  -- from catalog: Edward Manners",,,,,,,,,,11565,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3029, Lot 0106",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Grieff",,,,,,,,,,,"A pair, Dogs, and Game",,,Painting,,,,Sold,,,,,,,1827 Nov 14,Foster (Edward),"London, England, UK",,,,0-13 pounds,,J.;  -- from catalog: J,Lock;  -- from catalog: Lock,,,,,,,,,11559,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3029, Lot 0054",,,"LINGELBACH, JOHANNES (Dutch) -- from catalog: Linglebach",,,,,,,,,,,"Sportsmen, with Hawks and Dogs",,,Painting,,,,Sold,,,,,,,1827 Nov 14,Foster (Edward),"London, England, UK",,,,0-16 pounds,,Hastings;  -- from catalog: Hastings,Newberry;  -- from catalog: Newberry,,,,,,,,,11559,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3016, Lot 0181",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,A picture of Sporting Dogs,,,Painting,,,,Withdrawn,,,,,,,1827 Jul 21,Foster (Edward),"London, England, UK",,,,,,Walker;  -- from catalog: Walker,,,,,,,,,,11520,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3014, Lot 0100[b]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Two, one of Dogs, and oval Portrait (THIS LOT: Oval Portrait)",,,Painting,,oval,,Sold,,,,,,,1827 Jul 18,Foster (Edward),"London, England, UK",,,,"0-8 pounds (for lots 100[a], 100[b] & 101)",,Walker;  -- from catalog: Walker,,,,,,,,,,11518,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3014, Lot 0100[a]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Two, one of Dogs, and oval Portrait (THIS LOT: One of Dogs)",,,Painting,,,,Sold,,,,,,,1827 Jul 18,Foster (Edward),"London, England, UK",,,,"0-8 pounds (for lots 100[a], 100[b] & 101)",,Walker;  -- from catalog: Walker,,,,,,,,,,11518,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3012, Lot 0203b",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,A picture of Sporting Dogs,,,Painting,,,,Bought In,,,,,,,1827 Jul 14,Foster (Edward),"London, England, UK",,,,0-8 pounds,,"Walker, T.;  -- from catalog: T Walker",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3010, Lot 0134",,,"BEELDEMAKER, ADRIAEN CORNELISZ. (Dutch) -- from catalog: Beeldemaker",,,,,,,,,,,"A Landscape with Dogs, &c.",,,Painting,,,,Sold,,,,,,,1827 Jul 11 - 1827 Jul 12 (This Lot: Jul 11),Foster (Edward),"London, England, UK",,,,1-6 pounds,,Jameson;  -- from catalog: Jamieson,Haskew;  -- from catalog: Haskew,,,,,,,,,11511,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3008, Lot 0030",,,"LANDSEER, EDWIN HENRY (British) -- from catalog: Landseer",,,,,,,,,,,"A monkey chained in a stable, and defending his pewter dish of bread and milk from the attack of two dogs; one of which he has seized by the tail, while the other has slyly crept towards the dish.  The science displayed in the drawing the ingenuity of the composition, and the richness of the colouring, are admirable",,,Painting,,,,Sold,,,,,,,1827 Jul 7,Christie's,"London, England, UK",,,,173-5 pounds,,"De Tabley, John Fleming Leicester, 1st Baron;  -- from catalog: Rt Hon Lord De Tabley","Merryweather, Edwd.;  -- from catalog: Edwd Merryweather",,,,,,,,,11507,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3010, Lot 0055",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Three, a Landscape, and Pair of Dogs and Game",,,Painting,,,,Bought In,,,,,,,1827 Jul 11 - 1827 Jul 12 (This Lot: Jul 11),Foster (Edward),"London, England, UK",,,,1-0 pounds,,Trahar;  -- from catalog: Trahar,,,,,,,,,,11511,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3005, Lot 0098",,,TIZIANO VECELLIO (Italian) -- from catalog: Titian,,,,,,,,,,,"Titian's Dogs.  Two hounds lashed together, one reposing, the other standing by, with the fore foot, bent, as if desirous to be in action, are at the foot of a tree, in a landscape: -- painted with perfect truth, richness, and a most masterly pencil",,,Painting,,,,Sold [?],,,,,,,1827 Jun 30,Christie's,"London, England, UK",,,,283-10 pounds,,"Bedford, John Russell, 6th Duke of;  -- from catalog: Duke of Bedford",Campbell;  -- from catalog: Campbell,,,1789/01/23 LOCH 0081 BECKFORD Br-A1670,,1962/02/21 LOCH 0023 BEDFORD NA,"Paris, France. Musée du Louvre, R.F",,,11500,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-3005, Lot 0094",,,"POTTER, PAULUS (Dutch) -- from catalog: Paul Potter",,,,,,,,,,,"A Burgomaster and his family going out hawking.  They consist of three figures mounted, two huntsmen following, with the hawks and dogs, and a carriage wtih four horses behind, slowly ascending a hill, beyond which is seen the family chateau, sheltered on the skirt of the downs, painted with clear and brilliant effect",,,Painting,,,,Sold [?],,,,,,,1827 Jun 30,Christie's,"London, England, UK",,,,420-0 pounds,,"Bedford, John Russell, 6th Duke of;  -- from catalog: Duke of Bedford",Hill;  -- from catalog: Hill,,,,,,,,,11500,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2998, Lot 0168",,,"GILPIN, SAWREY (British) -- from catalog: Gilpin",,,,,,,,,,,Portrait of a Favourite Horse and Three Dogs on a Landscape,,,Painting,,,,Unknown,,,,,,,1827 Jun 23,Christie's,"London, England, UK",,,,13-13 pounds,,Campbell;  -- from catalog: Campbell,,,,,,,,,,11495,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2989, Lot 0036",,,"TENIERS, DAVID (THE YOUNGER) (Flemish) -- from catalog: Teniers",,,,,,,,,,,"An Interior.  A Sportsman returned from the Chase, winding his horn, his Dogs reposing about him.  Dead Game in the front ground, Figures regaling at a fire-place in the distance.  Painted in clear-tone",,,Painting,,,,Sold,,,,,,,1827 Jun 9,Christie's,"London, England, UK",,,,9-0 pounds,,"Townsend, Henry Hare, Mrs.;  -- from catalog: Mrs Hare Townsend",Isaacs;  -- from catalog: Isaacs,,,,,,,,,11481,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2973, Lot 0079",,,"DYCK, ANTHONIE VAN (Flemish) -- from catalog: Vandyke",,,,,,,,,,,"Portrait of Himself as a Chasseur, attended by his Dogs, a finely coloured and highly finished picture, and spoken of by Mensaert",,,Painting,,,,Bought In,,,,,,,1827 May 18 - 1827 May 19 (This Lot: May 18),Phillips (Harry),"London, England, UK",,,,46-4 pounds,,Higgins;  -- from catalog: Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2973, Lot 0011",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs attacking a Butcher's Basket,,,Painting,,,,Sold,,,,,,,1827 May 18 - 1827 May 19 (This Lot: May 18),Phillips (Harry),"London, England, UK",,,,2-1 pounds,,Palmer (Adelphi Terrace);  -- from catalog: Palmer,"Richdale, Mrs.;  -- from catalog: Mrs Richdale",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2825, Lot 0011",,,"BEELDEMAKER, ADRIAEN CORNELISZ. (Dutch) -- from catalog: Beldemaker",,,,,,,,,,,"Dogs, in a landscape",,,Painting,,,,Bought In,,,,,,,1826 Jun 1,Foster (Edward),"London, England, UK",,,,0-25 pounds,,,,,,,,,,,,11197,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2818, Lot 0119",,,"HOBBEMA, MEINDERT (Dutch), and Lingelbach -- from catalog: Hobbima","LINGELBACH, JOHANNES (Dutch), and Hobbema -- from catalog: Lingleback",,,,,,,,,,"A Woody Landscape.  This rich and faithful effort of art represents a rural and familiar scene from nature, happily selected by the artist to display the magic of his powers  A Rustic Cottage, enclosed by a rude fence, occupies the middle ground; in the distance, on the right, are other cottages; a winding road forms the rich foreground of the picture, enlivened by a cavalier with his dogs, and other travellers passing from a park richly wooded.  The mass of trees on the road side, are happily placed to give consequence and richness to the scene, and are painted with a crisp and brilliant touch.  An undoubted chef d'oeuvre",,,Painting,,,,Sold,,,,,,,1826 May 19 - 1826 May 20 (This Lot: May 20),Phillips (Harry),"London, England, UK",,,,441-0 pounds,,"Pourtalès-Gorgier, James-Alexandre, comte de;  -- from catalog: Count Pourtales","Maud [or] Wharncliff, James Archibald Stuart Wortley Mackenzie, 1st Baron; Wharncliff, James Archibald Stuart Wortley Mackenzie, 1st Baron [or] Maud;  -- from catalog: Maud; Wortley now Lord Wharncliff [or] Wortley now Lord Wharncliff",,,,,1988/01/14 NYSO 0020 NA,,,,11181,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2818, Lot 0117",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"Rendez Vous de Chasse; the subject represents the Portico and Facade of a Country Mansion, with a Statue of Neptune, &c. forming a fountain at the end of the garden wall; in front of the entrance is a numerous assemblage of ladies and gentlemen prepared to take the pleasures of hawking and shooting -- a group of horses and figures occupy the centre; a pied horse is held by a cavalier, who is taking a glass of wine; others of the party are waiting on the steps of the portico -- there are also four couple of dogs, and near the fountain are several figures -- with a view extending over a flat country, terminated with hills.  This admirable picture is rich and full of subject; the figures are finely drawn, and are distinguished for their elegance of character",,,Painting,,,,Sold,,,,,,,1826 May 19 - 1826 May 20 (This Lot: May 20),Phillips (Harry),"London, England, UK",,,,267-15 pounds,,"Pourtalès-Gorgier, James-Alexandre, comte de;  -- from catalog: Count Pourtales",Norton or Zacharry; Zacharry or Norton;  -- from catalog: Norton; Zacharry [or] Zacharry,,,,,,,,,11181,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2818, Lot 0102",,,"POTTER, PAULUS (Dutch) -- from catalog: P. Potter",,,,,,,,,,,"Portrait of a Pied Horse in a pleasing landscape; in the distance is a sportsman on horseback, with his keeper and dogs.  -- Finished in his most elaborate manner  Formerly in the Collection of the Chevalier Lamberts",,,Painting,,,,Sold,,,,,,,1826 May 19 - 1826 May 20 (This Lot: May 20),Phillips (Harry),"London, England, UK",,,,126-0 pounds,,"Pourtalès-Gorgier, James-Alexandre, comte de;  -- from catalog: Count Pourtales","Norton, William;  -- from catalog: Norton",,"Lambert, John, Sir [from Catalogue: Chevalier Lamberts]",1811/04/20 PALEB 0129 as Dujardin LEBRUN F-309,,1988/05/31 PADR 0032 REMAND NA,"Los Angeles, CA, USA. J Paul Getty Museum, 1988.PA.87",,,11181,,,,,,,,,,,,,,,,,Cost 160£ [WCL],
"Sales Catalog Br-2813, Lot 0017",,,"WIJNANTS, JAN (Dutch), and Velde, A. -- from catalog: Wynants","VELDE, ADRIAEN VAN DE (Dutch), and Wijnants -- from catalog: Adr. V. de Velde",,,,,,,,,,"View of a Road at the foot of a rising broken bank of sand heath, on the top of which is seen a Sportsman with his dogs; Peasants are driving Cattle through the plashy ground in front; a Waggon appears on the left, where the scene opens to a distant Landscape. This fine Cabinet Gem is of the best time and execution of the master, and the figures are minutely but exquisitely pencilled by Adr. V. de Velde.  It was one of the very distinguished Cabinet from which the much-famed Chapeau de Paille, by Rubens, was brought to this country",,,Painting,,[about 15 x 12],,Sold,,,,,,,1826 May 6,Christie's,"London, England, UK",,,,267-15 pounds,,"Barchard, Joseph;  -- from catalog: Josh Barchard Esqr",Nieuwenhuys;  -- from catalog: Nieuwenhuys,,,1822/07/29 ANBIN 0023 STIER D'AERTSELAER B-368,"Peel, Robert, Sir [from Handwritten annotation in EBNP II: [(1832) Sir Robt Peel]]",,"London, England, UK. National Gallery, 884",,,11168,,,,,,,,,,,,,,,,,abt 15 In by 12 [VAL]<br>(1832) Sir Robt Peels [EBNP II],
"Sales Catalog Br-2813, Lot 0011",,,"WIJNANTS, JAN (Dutch) -- from catalog: Wynants",,,,,,,,,,,"A Landscape with a winding Road, on the descent of which, from a Wood on the right, is seen a Sportsman with his Dogs, which are drinking at a pool in the front-ground; to the left the Scene opens to a beautiful distance; very highly finished",,,Painting,,[about 15 x 13],,Bought In,,,,,,,1826 May 6,Christie's,"London, England, UK",,,,120-15 pounds,,"Barchard, Joseph;  -- from catalog: Josh Barchard Esqr",,,,,,,,,,11168,,,,,,,,,,,,,,,,,abt 15 In by 13 [VAL],
"Sales Catalog Br-2811, Lot 0127",,,"RUISDAEL, JACOB VAN (Dutch) -- from catalog: J. Ruysdael",,,,,,,,,,,"An upright Woody Landscape, with Water, on the skirts of a Forest, with Huntsmen and Dogs pursuing game through the thicket",,,Painting,,upright,,Bought In,,,,,,,1826 Apr 29,Christie's,"London, England, UK",,,,50 guineas,,Easthoven;  -- from catalog: Easthoven,,,,,,,,,,11160,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2983, Lot 0072",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,A young Boar attacked by Dogs.  This was also taken to Paris,,,Painting,,,,Unknown,,,,,,,1827 Jun 1,Stanley (George),"London, England, UK",,,,56-11 pounds,,"Altamira, Vicente Osorio de Moscoso, 12th Conde de;  -- from catalog: Count Altamira",,,Louvre [from Catalogue: taken to Paris],,,,,,,11468,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2969, Lot 0001[c]",,,"COURTOIS, JACQUES (IL BORGOGNONE) (French) -- from catalog: Borgognone",,,,,,,,,,,"Dogs pursuing a Crane; a Lion, by Stubbs; and a Battle Piece, by Borgognone; very spirited (THIS LOT: A Battle Piece; lots 1[a] by A. Hondius & 1[b] by G. Stubbs)",,,Painting,,,,Sold,,,,,,,1827 May 12,Christie's,"London, England, UK",,,,2-15 pounds (for lots 1[a-c]),,"Grave, Robert;  -- from catalog: Graves","Thane, T.;  -- from catalog: T Th[ane]",,,,Roberts [from Handwritten annotation in BMPL I: [Roberts]],,,,,11442,,,,,,,,,,,,,,,,,now Roberts [BMPL I],
"Sales Catalog Br-2969, Lot 0001[b]",,,"STUBBS, GEORGE (British) -- from catalog: Stubbs",,,,,,,,,,,"Dogs pursuing a Crane; a Lion, by Stubbs; and a Battle Piece, by Borgognone; very spirited (THIS LOT: A Lion; lots 1[a] by A. Hondius & 1[c] by J. Courtois)",,,Painting,,,,Sold,,,,,,,1827 May 12,Christie's,"London, England, UK",,,,2-15 pounds (for lots 1[a-c]),,"Grave, Robert;  -- from catalog: Graves","Thane, T.;  -- from catalog: T Th[ane]",,,,Roberts [from Handwritten annotation in BMPL I: [Roberts]],,,,,11442,,,,,,,,,,,,,,,,,now Roberts [BMPL I],
"Sales Catalog Br-2969, Lot 0001[a]",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius, (H.)",,,,,,,,,,,"Dogs pursuing a Crane; a Lion, by Stubbs; and a Battle Piece, by Borgognone; very spirited (THIS LOT: Dogs pursuing a Crane; lots 1[b] by G. Stubbs & 1[c] by J. Courtois)",,,Painting,,,,Sold,,,,,,,1827 May 12,Christie's,"London, England, UK",,,,2-15 pounds (for lots 1[a-c]),,"Grave, Robert;  -- from catalog: Graves","Thane, T.;  -- from catalog: T Th[ane]",,,,Roberts [from Handwritten annotation in BMPL I: [Roberts]],,,,,11442,,,,,,,,,,,,,,,,,now Roberts [BMPL I],
"Sales Catalog Br-2964, Lot 0095",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,"Mastiffs and other Dogs, attacking and driving from his watery retreat, a huge Wild Boar.  This finely-executed Picture, deserves every praise, and is one of the chef d'oeuvres of this Painter",,,Painting,,,,Sold,,,,,,,1827 May 5,Christie's,"London, England, UK",,,,29-8 pounds,,"Pringle, John, Sir;  -- from catalog: Sir John Pringle",Wass;  -- from catalog: Wass,,,,,,,,,11436,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-2958, Lot 0127",,,"HAND, THOMAS (British) -- from catalog: F. Hand",,,,,,,,,,,"A Landscape, with Hunstmen and Dogs",,,Painting,,,,Unknown,,,,,,,1827 Apr 25 - 1827 Apr 26 (This Lot: Apr 25),Foster (Edward),"London, England, UK",,,,,,Heath;  -- from catalog: Heath,,,,,,,,,,11424,,,The artist's name was given as F. Hand but we have assumed this is an error.,,,,,,,,,,,,,,,
"Sales Catalog Br-2955, Lot 0115",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,Dogs baiting a Bear; very spirited and finely coloured,,,Painting,,,,Passed,,,,,,,1827 Apr 21,Christie's,"London, England, UK",,,,,,Wright;  -- from catalog: Wright,,,,,,,,,,11418,,,,,,,,,,,,,,,,,,
