PDF_Page,Page_Num,Item_Num,On_Web,Artist_Name,Artist_Info,Desc_Num,Description,Title_  Modifier,Handwritten_Notes,Genre,Subject,Object_Type,Material,Dimensions,Image,Notes,Date_of_Sale,Verbatim_Seller,Estimated _Price,Starting _Price,Frame _Price,Selling _Price,Currency,Verbatim_Buyer,Transaction,Main Heading
424,424,100,YES,Unknown,,100,"Landscape"" A landscape is showii with a brown and white cow Iving down in the fore-  ground, while another stands behind. To the right are two pigs and some  chickens. A woman is also seen milking a black cow. In the background is  a wooden shed, and behind it a brick building with a tower. Trees are to the  left.  Canvas, 26,25 in. long by 19,5 in. high. ",,,Landscape,,Painting,Canvas,"26,25 in long x 19,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
427,427,101,NO,Adriaen van de Velde,Dutch School,101,"Born in Amsterdam, 1635 ^^ ^636; died there January 21, 1672. Pupil of J. Wynants and Philips Wouwerman. Was employed to paint figures and animals in landscapes by  Hobbema, Van der Heyden, Haklcert, Wynants, Verboom, and Moucheron. Showed  even as a boy eminent talent, and after having left his master Wynants, studied figure  drawing and further developed under the influence of Paulus Potter. He is almost  equally important as a painter of figures in the landscapes of famous contemporaries. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
428,428,101a,YES,Adriaen van de Velde,,101a.,"""Landscape With Figures And Cattle"" This is one of Van de Velde's choicest works. A light brown cow is shown  in the foreground to the right, standing in shallow water. Behind her is a dark  brown cow with a light mottled head, rubbing it against a large tree. A  woman with a blue dress and a red and white waist is seated on the ground  holding a baby, while beside her sits a child in a red dress holding a little  dog. To the left are two sheep lying down. A shed is also to be seen at  the left. White clouds in the distance.  Panel, 18 in. long by 5 in. high. ",,,Landscape,,Painting,Wood,18 in long x 5 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
432,432,102,YES,Adriaen van de Velde,,102,"Noon-Day Rest"" The picture shows a man sitting, while a woman with a basket in her hand is  standing beside him. A red cow with a white face is lying on the ground,  and another cow behind it near a large tree. There are also two sheep, two  goats, and a dog lying on the ground. Hills in the distance.  Panel, 12,5 in. long by 15 in. high. ",,,,,Painting,Wood,"12,5 in long x 15 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
435,435,103,NO,"Willem van de Velde, The Younger",Dutch School,103,"Born in Amsterdam in 1633 ; died at Greenwich, April 6, 1707 ; buried in St. James' Church, Piccadilly. In 1674 Charles II. granted him a salary of ^100, for painting sea  fights, which, with an equal pension granted his father, was continued by James II. He  was the greatest marine painter of the Dutch School. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
436,436,103a,YES,"Willem van de Velde, The Younger",,103a.,"""Calm On The Bay"" A large brig - with sails set waiting for a breeze - which is shown at the  right, has been employed by the artist to emphasize his painted story. The em-  bellishments embrace a small boat with a single sail ; two fishermen in a boat,  one of whom is about drawing in his net ; two vessels with a single sail each,  which lie close together, and four men in a fishing-boat rowing across the bay.  From the collection of N. Steinmeyer, Cologne.  Signed on the buoy : ""W. V. Velde.""  Canvas, 26 in. long by 20 in. high. ",,,,,Painting,Canvas,26 in long x 20 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
440,440,104,YES,"Willem van de Velde, The Younger",,104,"""Firing A Salute"" A Man-of-War Hcs in the foreground with the saluting cannon protruding from  her side ; some officers in a pinnace are being rowed ashore. Merchant vessels  are lying in the foreground. The sea is calm, and the whole scene suggests a  soft and still atmosphere.  Signed in lower right-hand corner : "" W. V. Velde, 1654.""  Panel, 26,25 m. long by 19,25 in. high. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
443,443,105,NO,Andrea Del Verrocchio,Florentine School,105,"Born in Florence, 1435 ; died in Venice, June 25, 1488. Pupil of Donatello. His real name was Andrea da Michele di Francesco de' Cioni. Besides being a painter, he was a  sculptor and a goldsmith. Among his pupils were Leonardo da Vinci and Pietro Peru-  gino. He died while at work on the statue of Colleoni on the Piazza San Giovanni e  Paolo, of which he is generally conceded to be the sculptor. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
444,444,105a,YES,Andrea Del Verrocchio,,105a.,"""Madonna And Child"" On a background of flowers is shown the Madonna holding the Child on her  knee. She wears a red dress, over which is thrown a black velvet cloak. Her  right hand is extended around the little Christ, and her left hand rests on his  right leg. In his hand he holds a bird.  Panel, 17,75 in. long by 23,75 in. high. ",,,,,Painting,Wood,"17,75 in long x 23,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
447,447,106,NO,Anthonie Waterloo,Dutch School,106,"Born at Lille about 1618; died at Amsterdam after 1673. Landscape painter, whose works are distinguished for facile treatment and faithful representation of nature. His  aerial perspective is always good, trees and plants correct in color and of great variety.  His pictures are not often seen out of museums. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
448,448,106a,YES,Anthonie Waterloo,,106a.,"In The Forest"" A grove of trees, with massive trunks and dense foliage, which tell of their  age, impresses the casual beholder. Looking beyond, one can see the adjacent  fields, bathed in the soft light of a summer day, which present a beautiful perspec-  tive. In the foreground is a pool of water, upon the edge of which a number  of cows have come to drink. The man in charge of the animals stands by  and is talking with a woman mounted on a mule. In the upper left-hand  corner a little of the sky is visible. The animals were painted by Weenix.  From the gallery of Prince Galitzin.  Signed in lower right-hand corner : "" A. W.""  Canvas, 39,5 in. long by 28 in. high. ",,,,,Painting,Canvas,"39,5 in long x 28 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
451,451,107,NO,Antoine Watteau,French School,107,"Born at Valenciennes, October 10, 1684 ; died at Nogent-sur-Marne, near Paris, July 18, 172 1. He entered the studio of Gillot, at Paris, in 1702, and was apprenticed to the decorative painter, Claude Audran III. Was received into the Academy, 1717. Mean-  while he had continued his studies in copying the masterpieces of Rubens and Paolo  Veronese. His great reputation rests on his series of pictures of conventional shepherds,  shepherdesses, dancers, and comedians. Painted with unrivaled freshness, grace, and  charm. Many pictures were engraved by Thomassin, Cochin, and Cardon. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
452,452,107a,YES,Antoine Watteau,,107a.,"""The Garden Party"" The scene presented in this picture is the entrance to a vast palace, where a  large party of cavaliers and ladies are assembled. To the right is a continua-  tion of the front archway, which is supported by columns of white and blue  marble laid in blocks. Two statues of female figures, draped from the waist  down, holding vases above their heads, are shown to the right. A number of  people are seated to the right and left, engaged in conversation, and watching  a lady and gentleman dance. The gentleman dancer faces to the front, and  wears blue satin short clothes and a red hat ; the lady is facing in the opposite  direction, and is dressed in pink silk of the time of Louis XIV, Two youths  are reclining on the marble floor to the left ; a dog is in the foreground to  the right, and a little spaniel is sporting at the feet of one of the ladies. A  small greyhound is shown playing with two children near the dancers, and a  fountain is made conspicuous in the background.  Canvas, 26,25 in. long by 21 in. high.  Note. - This picture was engraved by Scotin, and painted by Watteau for Mr. Glucq, Counsellor at the French  Parliament. It was lost sight of for a number of years, and later we find it in the collection of Duke de Morny,  the prime minister of Napoleon Iii., in whose possession it remained until his death. On June 3, 1865, it was  sold, with the balance of Duke de Morny's collection, and afterwards went into the collection of Count Daupias.  From there it went into the collection of the present owner. ",,,,,Painting,Canvas,"26,25 in long x 21 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
455,455,108,NO,Philips Wouwerman,Dutch School,108,"Born in Haarlem ; baptized May 24, 1619 ; died May 19, 1668. Instructed by his father, also Jan Wynants. His first style in the brown tone, - his horses are heavy ;  his second style is distinguished by the pure golden tone and the slender build of his  horses ; and his third by the prevalence of a dull silvery tone. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
456,456,108a,YES,Philips Wouwerman,,108a.,"""The Watering Place"" The foreground of this production presents a number of horses, conspicuous  among which is one of light roan color, which is being led into a river by a  man mounted on another horse, which is drinking. To the right, one of the  horses has slipped sideways, and his mount is being thrown into the water ;  and still another, carrying a rider wearing a red cap, jumps out of the way,  as also does a man bathing. To the left a man and a boy are astride of the  same horse, and another horse is shown rearing, which gives life to the scene.  Several mountains, a castle, trees, and an arched bridge adorn the landscape.  Described in Smith's Catalogue, vol. i. page 268, No. 240.  From collection of Holderness, 1802; collection of Earl of Breadalbane ;  from collection of the Imperial and Royal Chancellor, G. Preyer of V^ienna.  Signed in lower left-hand corner; ** Phis, (in monogram) W.""  Panel, 20,5 in. long by 15,75 in. high. ",,,Landscape,,Painting,Wood,"20,5 in long x 15,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
459,459,109,NO,Jan Wynants,Dutch School,109,"Born in Haarlem about 1615 ; died about 1680. Landscape painter whose pictures are characterized by a certain prosaic truthfulness, fine aerial perspective, silvery-toned back-  ground, and careful execution of detail. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
460,460,109a,YES,Jan Wynants,,109a.,"""Landscape"" To the right are sandbanks which rise from the edge of the river. In the  foreground are two men and a woman. One of the former carries a gun  across his shoulder. Two men are fishing from the bank in the centre of the  picture.  Signed in the lower right-hand corner: **J. Wynants.""  Panel, 13,5 in. long by 10 in. high. ",,,Landscape,,Painting,Wood,"13,5 in long x 10 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
463,463,110,YES,Pieter Paul Rubens,Flemish School 1577-1640,110,"Two Apostles x 25,5 inches high; 20 inches wide.  The two male heads present a strong contrast of the ascetic and Epicurean type.  The one facing us on the right of the composition is bowed a Httle forward,  shghtly inclined to the left, and covered with short bushy dark hair. The eye-  brows, a trifle gray, are drawn down toward the thick nose, as the eyes glance to  the right with a pleasant scrutiny. The ruddy brown cheeks are puffed above  the luxuriant black beard which grows high up over the face and covers the upper  lip. Facing this head on the left is the other one, seen in profile, except that  a little of the farther eye is visible. The hair, sparsely scattered over the rosy  pink skull, is white, but is grayer behind the ears, where it is carefully brushed  forward. The eyes are slightly raised; the nose is long with thin arched nos-  trils, and the mouth drawn in as if no teeth supported the lips. A deeply sunken  wrinkle curves at the corner of the mouth, and another, parallel to it, indents  the jaw. The latter, like the chin, is hung with loose flesh. The man's hands  are clasped beneath the chin and his bust clad in a slate-black habit.  Purchased from Charles Sedelmeyer, Paris. ",,,,,Drawing,Brush,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
464,464,111,NO,Bartolome Esteban Murillo,Spanish School 1618-1682,111,"Born at Seville in 1 6 1 8. One of the chiefs of the Spanish school. Studied with a relative, Juan del Castillo, who taught him the rudiments. Moved by the painting of Pedro de  Moya, an artist of Seville, who had studied under Van Dyck, Murillo went to Madrid,  and presented himself to Velasquez, by whom he was kindly received. In 1645 he re-  turned to Seville, where he soon gained a great reputation. Invited to Cadiz, in 1681, he  was engaged in painting an altar-piece in the Capuchin Church there, when he fell from  the scaffolding and sustained severe injuries. He was taken back to Seville, where he lan-  guished for some time, but died in April of the next year, while in the act of making his  will. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
465,465,111a,NO,Bartolome Esteban Murillo,,111a.,"Madonna And Child In Glory x 33,5 inches high ; 29,25 inches wide.  In the centre of a throng of angelic babes and children, Madonna is seated in  the clouds with the Holy Child on her knee. A kerchief of transparent mus-  lin shows in subdued tones the pale rose of her gown, which has open sleeves,  disclosing full white undersleeves. A deep blue mantle partly covers her lap.  The Child, seated, holds with the left hand a white drapery that passes under  his leg and is suspended from the Virgin's right hand. In His other hand He  holds a rosary. The girlish head of Madonna, with its soft brown hair, is sur-  rounded by a golden glory encircled with cherub heads. At her feet is a bevy  of infant forms, bearing lilies and roses, while two suspend a rosy scarf, which  forms an arc in the place where in some of Murillo's pictures the sickle of the  moon appears. On the lower right a little angel is speeding forward with a  basket of roses, while beside Madonna stands an older fair-haired angel-child  in white. Overhead an angel is playing a pipe organ, and others, clustered on  the upper left part of the clouds, are playing on various instruments : a violin,  violoncello, harp, lute and a curved pipe. They are accompanying an angel  who is singing. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
466,466,112,NO,Francesco Guardi,Italian School 1712-1795 ,112,"Venice x 9,25 inches long ; 6,25 inches high.  This is a companion piece to the succeeding one. Looking across the water,  one sees the Campanile rising clear of buildings, over the tops of trees that show  above a high wall. The latter terminates in a fa9ade that has three arched  entrances on the ground floor and three windows above, and is covered at the  top with a ""broken"" pediment. A landing-stage projects in front of it. Other  buildings extend to the right, the whole being silhouetted against a shimmer-  ing blue sky. In the front of the water, on the right, lie the prows of two sail-  boats, the sail of one being loosely reefed to the yard, while that of the other  is spread over the deck. On the left is a gondola propelled by two men in  white, and farther back appears a little sailboat. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
467,467,113,NO,Francesco Guardi,Italian School 1712-1795 ,113,"Venice x 9,25 inches long ; 6,25 inches high.  This is the companion piece to the foregoing. It shows across the water an  island, occupied by a church and some adjacent buildings. The former pre-  sents a nave with high pitched roof and three lancet windows, terminating on  the right in an apse. The island is surrounded by a stone embankment, inter-  rupted near the church by a flight of steps leading to the water. The latter,  in the middle distance, is dotted with two gondolas, and a third shows toward  the right of the foreground. Here, in the extreme corner, projects a boat with  a three-pronged bow that is being propelled by two men, while, as a pendant  to it, on the left, is a vessel with a sail spread like an awning over the deck and  another looped up to the yard. Two little boats lie alongside. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
468,468,114,NO,Paulus Potter,Dutch School 1625-1654 ,114,"Gray Bull x 9,5 inches long; 7,25 inches high.  Standing across the picture, facing right, is a blackish gray bull with a white  face, and white markings along the ridge of the neck, the chest, belly, and two  of the hocks. The sky is filled with slaty-colored vapor, lighter in tone over  the dark mass of the beast's stern. Under its body the horizon shows still  lighter, and here a church spire is visible among dark olive trees. Buildings  also appear on a knoll at the right of the composition. The foreground of  deep green grass is interrupted with patches of sand. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
469,469,115,NO,Paulus Potter,"Dutch School, 1625-1654 ",115,"Landscape And Cattle x 16 inches long; 13,5 inches high.  The warm glow of a late afternoon in summer pervades the scene. On the  left rises a knoll, surmounted by a row of four slender poplars, which lift their  foliage high against a rosy dove-gray sky, sprinkled with a few creamy clouds.  The stern of a cow shows in front of the last tree on the right. At the left of  the trees, nearer to the front, a lady and gentleman are seated on the grass.  He caresses a dog with one hand while he extends the other to the lady as  he converses. She is dressed in a rose-colored skirt, and an over-dress of snuff-  brown, with a kerchief of gray muslin. Behind her a dun cow is lying down.  A milk-maid is coming forward carrying a bucket in her right hand, while  the other arm hangs away from her body. The grass is barred with the  shadows cast by the three figures. In a little pool at the foot of the knoll a  dun cow is drinking, while in the middle distance on the right, another dun  and a white cow with black face and neck are lying down.  This picture is mentioned in Smith's Catalogue Raisonne, Part V, p. 144, No. 64. Exhibited at the British Gallery, London, 1820. From the collec-  tion of Earl of Radstock, i 826.  Purchased from Thomas Agnew & Sons, Lodon, 1891. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
470,470,116,NO,Jan Davidsz de Heem,"Dutch School, 1606-1684 ",116,"Was born at Utrecht after 1600. He was the son of David de Heem, the flower painter, by whom he was instructed. His pictures bear date from 1640 to 1669, and represent  fruit, flowers, vases and ornaments of gold and silver, musical instruments and similar  objects of still-life. He was a perfect master of chiaroscuro. He particularly excelled in  imitating the transparent clearness of glass and crystal, which he was fond of introducing  into his pictures. His paintings were so superior to those of every artist that had preceded  him, in similar subjects, that they were anxiously sought after by the most distinguished  persons of his time, and were purchased at large prices. They are still held in high esti-  mation. Being obliged to leave Utrecht during the trouble which took place in Holland  in 1671, he took refuge at Antwerp, where he died in 1674. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
471,471,116a,NO,Jan Davidsz de Heem,,116a.,"Still Life x 15,5 inches long ; 11 inches high.  On a table covered with a rose-brown silk cloth, rests a dish of fruit. In the  centre is an orange, over which is piled a bunch of grapes. To the left appear  a lemon and a blue plum in shadow ; and on the right a lemon that has been  peeled, the rind hanging from it in a loop, the other end of which lies on the  table. Within its arc gleams a very red cherry, while at the back of the fruit  on the right is a tumbler half tilled with amber liquor. A tortoise-shell butterfly  has settled on the grapes, and a lady-bird upon the lemon.  Purchased from Charles Sedelmeyer, Paris. ",,,Still Life,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
472,472,117,NO,Nicolas Berchem,"Dutch School, 1620-1683",117,"Born at Haarlem, 1620. Son and pupil of Pieter Claasz ; studied also with Van Goyen, J. B. Weenix and Jan Wiis, whose daughter he married. In 1642 he entered the Guild  of Haarlem. Probably visited Italy, 1648-1655, and finally settled in Amsterdam. At  first influenced by Weenix, he gradually found his own style, and shared with Jan Both  the high regard of his contemporaries. A clever and fairly prolific etcher. Died at  Amsterdam, 1683. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
473,473,117a,NO,Nicolas Berchem,,117a.,"Crossing The Creek x 21,5 inches long; 17,25 inches high.  In the foreground slabs of olive-brown rock border the shallow water of a  ford, A girl with ruddy legs is wading in it, stooping forward as she holds  up her blue skirt. The rest of her costume consists of a red bodice, full white  sleeves and a yellow kerchief. From behind her appears the head and neck  of a black cow with white nozzle, while a dun follows her, showing a white  patch on her nose and over her right eye as she turns her head to the front.  Above her back appears the head and back of a white horse, on which a shep-  herd boy, girt with a sheepskin, sits playing a fife. Over on the left, a little in  front of the girl, stands a dog with his back to the spectator, turning his head  to look at a black goat that is standing on a stony bank at the extreme left. The  group is seen against a dark background of rock, studded at the top with a few  round bushes, which show against the rosy yellow cream of a sky that passes  into olive drab above. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
474,474,118,NO,"Willem van de Velde, The Younger",Dutch School. 1 633-1 707 ,118,"In The Harbor x 16,5inches long; 11,75 inches high.  The sky on the right presents a lowering drab mass, but on the left a rosy  creamy cloud mounts up in two buoyant volumes from the dull dove-gray vapor  that overhangs the horizon. In the middle distance, toward the right, a frigate  is saluting from both sides, the puffs of smoke hanging about the dark brown  hull. She is two masted, with a dull yellow schooner sail aft and a reddish  square sail forward, rigged above a jib of the same color. She flies the Dutch  ensign, and red, white and blue pennants from her mastheads. Back of this  vessel on the left appear the drab sails of other boats, and further off, a wharf  with buildings and shipping. Conspicuous on the left of the foreground is a  boat, carrying a single buff sail that catches the light. A white flag, horizon-  tally barred with four gold stripes, floats from her high poop. On the right  of the water rides a buoy of open framework. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
475,475,119,NO,"David Teniers, The Younger",Flemish School 1610-1690 ,119,"Reckoning The Score x 25 inches long; 17 inches high.  The scene is an inn-yard, where a table surrounded by guests occupies the  centre. From the inn door on the lett approaches the tapster carrying a pipe  on a tray. His spare figure is clad in brown with a white cap and apron. Back  to him, leaning one hand on the end of the table, stands an old man in a black  skull cap, breeches and belted tunic, whose right hand is raised as if he were  shaking it, before throwing a dice to the one that lies on the table. At the  back of the table a woman in a pale blue dress with a white guimpe sits hold-  ing a tankard as she watches him. To her right stands a man who seems to  be a gamekeeper, for a pheasant's feather is stuck in his fur-edged cap and a  knife hangs from the belt of his buif tunic. Behind him, sitting on a barrel,  smoking, is another man, in dark blue tunic and drab breeches. Over the top  of his rose-colored cap appear the head and shoulders of still another guest. At  the rear of the yard on the right, three men are engaged in a game of nine-  pins, while a woman in a red jacket watches from the doorway of an out-  building. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
476,476,120,NO,Jan van Goyen,"Dutch School, 1 596-1656 ",120,"Landscape By A River x 17 inches long ; 11,25 inches high.  The local colors of the landscape are transposed into a tonality of browns and  silvery grays. The view is across the water to a bank that stretches back diag-  onally from the right. Here it is enforced by vertical piles, and interrupted by  the entrance to a canal. On the flat bridge which spans it a man leans on a  stick, watching another as he sits fishing. Back on the right appears a rick-  roof. To the left rises a clump of trees, succeeded by a house with a high  gable. Then, between two masses of greenery, appears another rick-roof. The  vista terminates in a point of land on which three figures stand. A saitboat  lies near and another is visible in the distance. A punt with two fishermen in  it is moored by a pole in front of the gabled house. The sky vibrates with  grayish cream, warm over the horizon and dappled toward the zenith with  drab-gray clouds. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
477,477,121,NO,Baldassare Peruzzi,"Italian School, 1481-1536",121,"Born at Siena, March 7, 148 1 ; died in Rome, January 6, 1537. Sienese school; son of a weaver of Volterra; he was perhaps indebted to Ii Sodoma for his early instruction, but  soon learned to follow Pinturicchio. Went about 1504 to Rome, where he speedily won  a favorable position. He executed frescoes - an Eternal, Coronation of the Virgin,  and Madonnas with Saints - in S. Onofrio, and made designs for mosaics in S. Croce in  Gerusalemme. By him also is the ceiling in the Camera dell' Eliodoro in the Vatican,  partly repainted by Raphael. Peruzzi was an architect as well as a painter, and built ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
477,477,121,NO,Baldassare Peruzzi,"Italian School, 1481-1536",121,"the Palazzo Chigi, called the Farnesina, and decorated its ceilings with frescoes. He painted also many other frescoes, the best of which are those in S. M.della Pace. In  these he endeavored to rival Michelangelo and Raphael, and some of them recall the  grandeur of their works. In 1520 he succeeded Raphael as architect of St. Peter's,  and held that position until the sack of Rome by the Spaniards in 1527, when he was  captured and plundered of all he possessed. He was employed in architectural and  engineering work until 1535, when he returned to Rome and began the Palazzo Massimi,  which he did not live to finish. He was the last of the great artists of Siena. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
478,478,121a,YES,Baldassare Peruzzi,,121a.,"Visit Of The Shepherds x 68 inches long; 152,5 inches high.  The Holy Child is lying in a manger, formed of wattles, stuffed with straw that  occupies the centre of the foreground. The nude form is stretched upon a  white cloth, and his yellow curly hair, surrounded by a golden aura, rests on  a pillow. He is holding up his rosy hands to the \'irgin, who kneels over  Him, holding back the cloth that has covered Him. A gold nimbus hovers  above the wimple that lies upon her sunny hair, and a creamy scarf with ashy  shadows is knotted across the bosom of her pale rose gown. A golden drab  drapery lies across her knees. Just above the head of a reddish dun cow that  appears in the lower left corner of the composition sits Joseph, a nimbus like  that of the Virgin encircling his bushy yellow brown hair. Near to Joseph's  head appears another, that of a shepherd with curly hair and beard. And to  the left are the head and torso of a young man in a felt hat carrying a lamb  upon his shoulder, who points down toward the Child. On the right of the  composition, beside a brook, kneels a shepherd. His hands are folded upon his  heart in adoration, but he has turned his whitened, bald head to speak to a  youth, whose head, distinguished by a curl on his forehead, is peering over the  old man's left shoulder. Above his head on the right appears the form as far  as the waist ot another gray shepherd, who presses the bladder of a bagpipe  against his pale crimson tunic while he shades his eyes with his right hand.  He is gazing up at three angels who float upon the clouds which hover above  an interval of dark hilly landscape, showing a single tower. They are three  beautiful child forms, wreathed about with a scroll, while scroll-like draperies  encircle their nude limbs. The landscape portions are treated in deep reddish  brown tones, relieved with grays and blues in the distance, and a golden lumi-  nosity pervades the figures.  The panel is arched at the top. ",,,Landscape,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
479,479,122,YES,Sir Thomas Lawrence,P. R. A. ,122,"Born at Bristol, 1769. The family moved to the White Hart Inn, Devizes, where the boy displayed such skill in making crayon drawings of the customers, that his father  took him to Oxford, and thence to Bath, obtaining numerous sitters. In 1787 he went  to London and entered the Academy schools ; next year exhibiting the portrait of Miss  Farren, which secured him the notice of the King, who, on Sir Joshua's death in 1792,  appointed him painter in ordinary. His studio in Old Bond Street was the resort of  fashion, and he painted all the notables of his time, visiting Aix-la-Chapelle in 18 14 to  paint the portraits of the allied sovereigns, their statesmen and generals, which formed  the commencement of the Waterloo Gallery at Windsor. Thence he went to Rome  and painted the Pope, and on his return to England found himself elected President  of the Academy (1820). Between 1825 and his death in 1830 he painted some of his  finest works. He was buried in St. Paul's. ",,,Portrait,,Drawing,Crayon,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
480,480,122a,YES,Sir Thomas Lawrence,,122a.,"Portrait Of Antonio Canova x 30 inches high ; 25 inches wide.  The famous sculptor is represented nearly to the waist, the head and bust in-  clined three-quarters to the left. The portrait may have been painted during  C'anova's visit to England, whither he went to give expert advice to the British  Government concerning the Elgin marbles. For he appears as a man verging  on fifty, the hair still black, but scanty, growing down to a point over the high  forehead, and brushed forward onto the temples in single curly wisps. The  brows are finely arched; the nose, strongly prominent, is slightly aquiline and  full at the tip, though the nostrils are sensitively curved. The lips are supple,  yet firm; the upper darkened by shaving, the lower slightly protruding. The  shirt, fastened at the neck with two buttons, has a soft overhanging collar.  Touches of pale blue show beneath a yellow wrapper that is crossed over the  chest, and above this is worn a crimson velvet gown, edged around the neck  and down the front with brown fur. The figure is seen against an olive brown  background, with a band of dull red, like a curtain, down the right side.  Purchased from Messrs. Thomas Agnew & Sons, London. ",,,Portrait,,Drawing,Brush,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
483,483,1,NO,Andreas Achenbach,Dusseldorf School,1,"Born in Casse!, September 29, 1815. Died 1900. Landscape and marine painter. Pupil of Diisseldorf Academy, 1827 to 1835 under Schirmer, and one of the most dis-  tinguished painters of the school. After his return to Diisseldorf from Holland in 1846,  he executed a great number of German and Norwegian landscapes, painting mountain,  forest, and sea with like ability and power. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Modern Paintings
484,484,1a,YES,Andreas Achenbach,,1a.,"""Sea Coast"" The waves are rolling in, while a iishing-boat is about to start from the shore.  She has two sails set. Some of the fishermen are on board, while others are  pushing at the stern. Another boat of the same character is in the offing, sailing  away. To the left three fishermen, with their fishing-tackle, are coming  through the shallow water which washes up on the shore. To the right are  other fishermen and women on the shore. Farther on, rocks are seen in the  distance, and beyond are low hills which border the shore. It is a cloudy day,  but the sun has broken through, and the light is reflected in silvery waves  across the water.  Signed at the bottom, to the right of the centre: ""A. Achenbach, 1840.""  Panel, 29,75 in. long by 19,75 in. high. ",,,,,Painting,Wood,"29,75 in long x 19,75 in high ",,,1910/04/05,,,,,,,,,Modern Paintings
487,487,2,NO,Joseph Claude Bail,French School ,2,"Born in Limonest (Rhone). Pupil of his father. Honorable mention, 1885; medals: third class, 1886 ; second class, 1887 ; Silver Medal Exposition, 1889; Legion of Honor, 1900; Gold Medal Exposition, 1900; Medal of Honor, 1902. ",,,,,,,,,,1910/04/05,,,,,,,,,Modern Paintings
488,488,2a,YES,Joseph Claude Bail,,2a.,"Servants Lunching"" This picture represents three servants sitting at a table opposite a window  through which the Hght is shining brightly. One servant is full face, another  is three quarters profile, and the third has her back turned to the spectator. In  the rear on the right is another window, and on the jamb beside the opening  to the rear hangs a clock. The table is covered with a white cloth, and upon  it is a large covered dish, a glass pitcher containing wine, and three glasses.  The servant in the foreground has her plate in her lap. The one at the end  of the table is about to eat with a spoon from the dish before her. On the  Hoor is a brass kettle.  Signed in lower right-hand corner.  Canvas, 61,5 in. long by 14 in. high. ",,,,,Painting,Canvas,"61,5 in long x 14 in high ",,,1910/04/05,,,,,,,,,Modern Paintings
489,489,3,NO,,,3,[missing catalogue entry],,,,,,,,,,1910/04/05,,,,,,,,,Modern Paintings
489,489,4,NO,,,4,[missing catalogue entry],,,,,,,,,,1910/04/05,,,,,,,,,Modern Paintings
489,489,5,NO,,,5,[missing catalogue entry],,,,,,,,,,1910/04/05,,,,,,,,,Modern Paintings
489,489,6,NO,,,6,[missing catalogue entry],,,,,,,,,,1910/04/05,,,,,,,,,Modern Paintings
